policy,benchmark,cycles,ipc,mpki,d_cache_read_misses,d_cache_write_misses,d_cache_total_misses,d_cache_read_hits,d_cache_write_hits,fetched_instr,retired_instr
LRU,cache_stress,525927,0.748,0.08137606933241107,16,16,32,65520,65520,524310,393236
LRU,gups,345730,0.806,0.11490001903031566,16,16,32,16368,16368,344113,278503
LRU,matrix_col,104951,0.628,1.9435165502581233,128,0,128,16256,0,98630,65860
LRU,matrix_transpose,91145,0.631,0.27805776650099057,8,8,16,4088,4088,65736,57542
LRU,pointer_chase,108997,0.733,0.10014771788387873,5,3,8,8186,4094,108556,79882
LRU,stencil,185075,0.266,0.32561357808620617,12,4,16,12270,4090,57328,49138
LRU,stream_large,399544,0.656,0.48827193695188614,128,0,128,65408,0,393223,262149
LRU,stream_triad,66776,0.675,0.5325168075617387,16,8,24,8176,4088,53263,45069
LRU,streaming,82024,0.799,0.015257857796765334,1,0,1,32767,0,81926,65540
LRU,stride_32,55480,0.591,3.9056540444878407,128,0,128,8064,0,49159,32773
LRU,stride_64,30904,0.53,7.810116541582769,128,0,128,3968,0,24583,16389
LRU,strided,7768,0.528,7.802974884174592,32,0,32,992,0,6151,4101
LRU,test1,530664,0.741,0.3280606276384721,0,129,129,0,130943,524294,393220
LRU,vector_add,46295,0.797,0.6508298080052066,16,8,24,8176,4088,45070,36876
LRU,working_set,1051787,0.748,0.0813777248822566,32,32,64,131040,131040,1048602,786456
LRU,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097182,1572892
LRU,write_intensive,296550,0.663,0.16274468918307253,0,32,32,0,49120,294933,196627
DIP,cache_stress,525927,0.748,0.08137606933241107,16,16,32,65520,65520,524310,393236
DIP,gups,345730,0.806,0.11490001903031566,16,16,32,16368,16368,344113,278503
DIP,matrix_col,104951,0.628,1.9435165502581233,128,0,128,16256,0,98630,65860
DIP,matrix_transpose,91145,0.631,0.27805776650099057,8,8,16,4088,4088,65736,57542
DIP,pointer_chase,108997,0.733,0.10014771788387873,5,3,8,8186,4094,108556,79882
DIP,stencil,185075,0.266,0.32561357808620617,12,4,16,12270,4090,57328,49138
DIP,stream_large,399544,0.656,0.48827193695188614,128,0,128,65408,0,393223,262149
DIP,stream_triad,66776,0.675,0.5325168075617387,16,8,24,8176,4088,53263,45069
DIP,streaming,82024,0.799,0.015257857796765334,1,0,1,32767,0,81926,65540
DIP,stride_32,55480,0.591,3.9056540444878407,128,0,128,8064,0,49159,32773
DIP,stride_64,30904,0.53,7.810116541582769,128,0,128,3968,0,24583,16389
DIP,strided,7768,0.528,7.802974884174592,32,0,32,992,0,6151,4101
DIP,test1,530664,0.741,0.3280606276384721,0,129,129,0,130943,524294,393220
DIP,vector_add,46295,0.797,0.6508298080052066,16,8,24,8176,4088,45070,36876
DIP,working_set,1051787,0.748,0.0813777248822566,32,32,64,131040,131040,1048602,786456
DIP,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097182,1572892
DIP,write_intensive,296550,0.663,0.16274468918307253,0,32,32,0,49120,294933,196627
DRRIP,cache_stress,525927,0.748,0.08137606933241107,16,16,32,65520,65520,524310,393236
DRRIP,gups,345730,0.806,0.11490001903031566,16,16,32,16368,16368,344113,278503
DRRIP,matrix_col,104951,0.628,1.9435165502581233,128,0,128,16256,0,98630,65860
DRRIP,matrix_transpose,91145,0.631,0.27805776650099057,8,8,16,4088,4088,65736,57542
DRRIP,pointer_chase,108997,0.733,0.10014771788387873,5,3,8,8186,4094,108556,79882
DRRIP,stencil,185075,0.266,0.32561357808620617,12,4,16,12270,4090,57328,49138
DRRIP,stream_large,399544,0.656,0.48827193695188614,128,0,128,65408,0,393223,262149
DRRIP,stream_triad,66776,0.675,0.5325168075617387,16,8,24,8176,4088,53263,45069
DRRIP,streaming,82024,0.799,0.015257857796765334,1,0,1,32767,0,81926,65540
DRRIP,stride_32,55480,0.591,3.9056540444878407,128,0,128,8064,0,49159,32773
DRRIP,stride_64,30904,0.53,7.810116541582769,128,0,128,3968,0,24583,16389
DRRIP,strided,7768,0.528,7.802974884174592,32,0,32,992,0,6151,4101
DRRIP,test1,530664,0.741,0.3280606276384721,0,129,129,0,130943,524294,393220
DRRIP,vector_add,46295,0.797,0.6508298080052066,16,8,24,8176,4088,45070,36876
DRRIP,working_set,1051787,0.748,0.0813777248822566,32,32,64,131040,131040,1048602,786456
DRRIP,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097182,1572892
DRRIP,write_intensive,296550,0.663,0.16274468918307253,0,32,32,0,49120,294933,196627
EAF,cache_stress,525927,0.748,0.08137606933241107,16,16,32,65520,65520,524310,393236
EAF,gups,345730,0.806,0.11490001903031566,16,16,32,16368,16368,344113,278503
EAF,matrix_col,104951,0.628,1.9435165502581233,128,0,128,16256,0,98630,65860
EAF,matrix_transpose,91145,0.631,0.27805776650099057,8,8,16,4088,4088,65736,57542
EAF,pointer_chase,108997,0.733,0.10014771788387873,5,3,8,8186,4094,108556,79882
EAF,stencil,185075,0.266,0.32561357808620617,12,4,16,12270,4090,57328,49138
EAF,stream_large,399544,0.656,0.48827193695188614,128,0,128,65408,0,393223,262149
EAF,stream_triad,66776,0.675,0.5325168075617387,16,8,24,8176,4088,53263,45069
EAF,streaming,82024,0.799,0.015257857796765334,1,0,1,32767,0,81926,65540
EAF,stride_32,55480,0.591,3.9056540444878407,128,0,128,8064,0,49159,32773
EAF,stride_64,30904,0.53,7.810116541582769,128,0,128,3968,0,24583,16389
EAF,strided,7768,0.528,7.802974884174592,32,0,32,992,0,6151,4101
EAF,test1,530664,0.741,0.3280606276384721,0,129,129,0,130943,524294,393220
EAF,vector_add,46295,0.797,0.6508298080052066,16,8,24,8176,4088,45070,36876
EAF,working_set,1051787,0.748,0.0813777248822566,32,32,64,131040,131040,1048602,786456
EAF,working_set_1gb,14942287,0.105,166.66369973272162,131072,131072,262144,131072,131072,2097182,1572892
EAF,write_intensive,296550,0.663,0.16274468918307253,0,32,32,0,49120,294933,196627
